Date,Open,High,Low,Close,Adj Close,Volume,Difference,Year,Month,Day,Difference_Afirm
2018-07-27,25.510000228881836,25.84000015258789,24.979999542236328,25.290000915527344,25.290000915527344,936900,0.17999839782714844,2018,07,27,0
2018-07-30,25.479999542236328,25.5,24.270000457763672,24.31999969482422,24.31999969482422,1040400,0.970001220703125,2018,07,30,0
2018-07-31,24.149999618530273,24.229999542236328,23.549999237060547,24.1299991607666,24.1299991607666,676000,0.1900005340576172,2018,07,31,0
2018-08-01,24.1299991607666,24.219999313354492,23.34000015258789,23.889999389648438,23.889999389648438,1226800,0.23999977111816406,2018,08,01,0
2018-08-02,23.799999237060547,24.049999237060547,23.1200008392334,23.75,23.75,1289000,0.1399993896484375,2018,08,02,0
2018-08-03,24.149999618530273,25.100000381469727,23.75,24.56999969482422,24.56999969482422,1807100,-0.8199996948242188,2018,08,03,1
2018-08-06,24.760000228881836,24.979999542236328,24.010000228881836,24.34000015258789,24.34000015258789,1288200,0.22999954223632812,2018,08,06,0
2018-08-07,24.520000457763672,24.8700008392334,23.940000534057617,24.43000030517578,24.43000030517578,998200,-0.09000015258789062,2018,08,07,1
2018-08-08,24.43000030517578,24.670000076293945,23.18000030517578,23.3799991607666,23.3799991607666,641200,1.0500011444091797,2018,08,08,0
2018-08-09,23.5,24.690000534057617,23.0,24.020000457763672,24.020000457763672,2895400,-0.6400012969970703,2018,08,09,1
2018-08-10,24.0,24.0,22.260000228881836,23.100000381469727,23.100000381469727,2994100,0.9200000762939453,2018,08,10,0
2018-08-13,22.75,23.6200008392334,22.459999084472656,23.360000610351562,23.360000610351562,1648100,-0.26000022888183594,2018,08,13,1
2018-08-14,23.709999084472656,24.1200008392334,23.600000381469727,24.1200008392334,24.1200008392334,1299100,-0.7600002288818359,2018,08,14,1
2018-08-15,23.860000610351562,24.360000610351562,23.440000534057617,24.309999465942383,24.309999465942383,741600,-0.18999862670898438,2018,08,15,1
2018-08-16,24.360000610351562,25.030000686645508,24.1299991607666,24.8700008392334,24.8700008392334,961000,-0.5600013732910156,2018,08,16,1
2018-08-17,24.700000762939453,24.940000534057617,24.190000534057617,24.389999389648438,24.389999389648438,1991500,0.48000144958496094,2018,08,17,0
2018-08-20,24.489999771118164,24.920000076293945,24.260000228881836,24.540000915527344,24.540000915527344,980100,-0.15000152587890625,2018,08,20,1
2018-08-21,24.479999542236328,24.510000228881836,23.549999237060547,23.709999084472656,23.709999084472656,3077300,0.8300018310546875,2018,08,21,0
